benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,k,widths
HIERARCHICAL_PAIRS,Matryoshka_4,0,8.02936,6.00929,0,0.9863139687945469,0.902200311523806,0.838247537612915,0.9814814814814815,0.7624794244766235,0.7895612120628357,0.769180953502655,0.9952818155288696,Matryoshka,6,3-level
HIERARCHICAL_PAIRS,Matryoshka_5,0,7.99049,6.97382,0,1.063141184633546,0.9067172935242678,0.8364348411560059,0.9768518518518519,0.6775124073028564,0.8072165846824646,0.7258087992668152,0.9942330121994019,Matryoshka,7,3-level
HIERARCHICAL_PAIRS,Matryoshka_6,0,8.017,8.03755,0,0.9384787394814532,0.9035374132440539,0.8208932876586914,0.9675925925925926,0.6247521638870239,0.7922664880752563,0.6812219619750977,0.992031991481781,Matryoshka,8,3-level
HIERARCHICAL_PAIRS,Matryoshka_7,0,8.03385,9.08954,0,0.9873741455899635,0.9030836386156572,0.8094663619995117,0.9567901234567902,0.5845006108283997,0.7826519012451172,0.6526034474372864,0.9904871582984924,Matryoshka,9,3-level
HIERARCHICAL_PAIRS,Matryoshka_8,0,8.00637,9.953,0,0.9745655213680795,0.9016685138545476,0.7935039401054382,0.9429012345679012,0.5484758615493774,0.770552933216095,0.6176801919937134,0.9887986183166504,Matryoshka,10,3-level
HIERARCHICAL_PAIRS,Matryoshka_9,0,8.03194,10.98755,0,0.9725676098180832,0.9013238742048292,0.7854116559028625,0.9320987654320988,0.5354489684104919,0.763140857219696,0.6050673723220825,0.9871899485588074,Matryoshka,11,3-level
POWER_LAW_DIGRAPH,Matryoshka_0,0,7.93387,1.99861,3,0.6268308605379063,0.525758736724748,0.9490169882774353,0.9984567901234568,0.9936748743057251,0.4172774851322174,0.5854241251945496,0.9955927729606628,Matryoshka,2,3-level
POWER_LAW_DIGRAPH,Matryoshka_1,0,7.97634,3.01168,0,0.7336866943496204,0.6265376228267576,0.959582507610321,1.0,0.9855619668960571,0.5994048714637756,0.7439281940460205,0.9968484044075012,Matryoshka,3,3-level
POWER_LAW_DIGRAPH,Matryoshka_2,0,7.94993,3.98768,0,0.7765755200374875,0.6700764548840374,0.9426122903823853,1.0,0.9002722501754761,0.7129673957824707,0.7914494872093201,0.9971649646759033,Matryoshka,4,3-level
POWER_LAW_DIGRAPH,Matryoshka_3,0,7.94303,4.99688,0,0.7881071930789925,0.6894526805436694,0.9278832077980042,1.0,0.784539520740509,0.7612128257751465,0.7649995684623718,0.9964089393615723,Matryoshka,5,3-level
