benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,l1_coefficient
SPARSE_UNIFORM,Standard_13,0,8.04657,0.90389,197,0.24890314616111706,0.08600117143193298,0.6859225034713745,0.6990740740740741,0.6685425043106079,0.17009137570858002,0.2589545249938965,0.9921677112579346,Standard,1.55
SPARSE_UNIFORM,Standard_14,0,8.03301,0.0084,549,0.23061471669333866,0.0018299573293322213,0.41382449865341187,0.595679012345679,0.12840206921100616,0.002374909818172455,0.004325492307543755,0.9930731654167175,Standard,1.85
SPARSE_UNIFORM,Standard_15,0,8.02787,0.00011,641,0.22869274672566062,-3.175928270149342e-06,0.39103028178215027,0.6404320987654321,0.0069444444961845875,2.4854374714777805e-05,4.9486669013276696e-05,0.9919293522834778,Standard,2.2
SPARSE_UNIFORM,Standard_2,0,8.02703,12.81339,0,0.6084573623543531,0.6143116964209403,0.7233598828315735,0.6311728395061729,0.8186419606208801,0.6535286903381348,0.6816434860229492,0.9756456613540649,Standard,0.4
SPARSE_UNIFORM,Standard_3,0,8.02741,11.70094,0,0.5790327561031714,0.582740077609233,0.6899790167808533,0.5864197530864198,0.8730355501174927,0.6042982935905457,0.6724633574485779,0.972628653049469,Standard,0.45
SPARSE_UNIFORM,Standard_4,0,8.02384,10.63539,0,0.5521908678610722,0.5502376205404207,0.6572088003158569,0.5432098765432098,0.9122708439826965,0.5544937252998352,0.6469590663909912,0.9683462977409363,Standard,0.5
SPARSE_UNIFORM,Standard_5,0,8.03841,9.59224,0,0.5208450024505146,0.5208983205679137,0.6355077624320984,0.5123456790123457,0.9360975027084351,0.5092085003852844,0.6167248487472534,0.9654219150543213,Standard,0.55
SPARSE_UNIFORM,Standard_6,0,8.04233,8.67715,0,0.4920587281087785,0.48465259664255567,0.6078795790672302,0.46296296296296297,0.9444878697395325,0.4709112048149109,0.58658367395401,0.9653633832931519,Standard,0.6
SPARSE_UNIFORM,Standard_7,0,8.0328,7.92894,0,0.4773650031879782,0.4778575199074502,0.618521511554718,0.4799382716049383,0.9589921832084656,0.4611133933067322,0.5849242210388184,0.9653494358062744,Standard,0.65
SPARSE_UNIFORM,Standard_8,0,8.03577,5.50716,0,0.4444793698119812,0.4477822637398855,0.6628377437591553,0.5324074074074074,0.9712511897087097,0.44140464067459106,0.573045551776886,0.9729034900665283,Standard,0.75
